token	lemma	pos
besloot	besloten	v(fin,pres,lex)

ende	en	conj(coord)	
dor	door	adp()	
ons	wij	pron(pers,1,plu)	
sijn	zijn	pron(poss)	
bloet	bloed	n(sing)	
root	rood	adj()

storte	storten	v(fin,past,lex)	
hier	hier	pronadv(dem)	
neder	neder	adv(gener)	
vp	op	adp()	
derde	derde	art(def)+n(sing)

ende	en	conj(coord)	
in	in	adp()	
minnen	min	n(sing)	
hem	hij	pron(pers,3,sing)	
openberde	openbaren	v(fin,past,lex)

vvien	wie	pron(inter)	
dat	dat	conj(subord)	
selke	zulk	pron(dem)	
minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
cont	kond	adj()

alse	als	conj(comp)	
caritate	caritaat	n(sing)	
hi	hij	pron(pers,3,sing)	
es	zijn	v(fin,pres,aux_cop)	
ghesont	gezond	adj()

men	men	pron(indef)	
machene	mogen+hij	v(fin,pres,aux_cop)+pron(pers,3,sing)	
niet	niet	adv(neg)	
verblenden	verblinden	v(infin)

al	al	conj(subord)	
laghe	liggen	v(fin,past,lex)	
hi	hij	pron(pers,3,sing)	
inder	in+de	adp()+art(def)	
hellen	hel	n(sing)	
gront	grond	n(sing)

ware	zijn	v(fin,past,aux_cop)	
hi	hij	pron(pers,3,sing)	
daer+mede	daarmede	pronadv(dem)	
ghewont	wonden	v(participle,past)

hine	hij+ne	pron(pers,3,sing)+adv(neg)	
ware	zijn	v(fin,past,aux_cop)	
niet	niet	adv(neg)	
in	in	adp()	
ellenden	ellende	n(sing)

maer	maar	conj(coord)	
god	god	n(sing)	
en	ne	adv(neg)	
wille	willen	v(fin,pres,aux_cop)	
den	de	art(def)	
riken	rijk	adj()	
vont	vond	n(sing)

gheenen	geen	num(indef)	
sondare	zondaar	n(sing)	
gheenen	geen	num(indef)	
hont	hond	n(sing)

nemmermeer	nimmermeer	adv(gener)	
toe+senden	toezenden	v(infin)

die	de	art(def)	
edele	edel	adj()	
haue	have	n(sing)	
dat	dat	conj(subord)	
diere	duur	adj()	
pont	pond	n(sing)

smaect	smaken	v(fin,pres,lex)	
alleene	alleen	adv(gener)	
der	de	art(def)	
vriende	vriend	n(plu)	
mont	mond	n(sing)

men	men	pron(indef)	
mach	mogen	v(fin,pres,aux_cop)	
haer	haar	pron(poss)	
lijf	lijf	n(sing)	
doen	doen	v(infin)	
henden	einden	v(fin,pres,lex)

ende	en	conj(coord)	
niet	niet	adv(neg)	
die	de	art(def)	
ziele	ziel	n(sing)	
scenden	schenden	v(fin,past,lex)

dander	de+ander	art(def)+num(ord)	
minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
onbehoet	onbehoed	adj()

want	want	conj(subord)	
soe	zij	pron(pers,3,sing)	
staet	staan	v(fin,pres,lex)	
om	om	adp()	
terdsche	het+aards	art(def)+adj()	
goet	goed	n(sing)

ende	en	conj(coord)	
om	om	adp()	
der	de	art(def)	
weerelt	wereld	n(sing)	
eere	eer	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
die	de	art(def)	
minne	min	n(sing)	
die	die	pron(rel)	
dicken	dik	adv(gener)	
doet	doen	v(fin,pres,lex)

rudderscap	ridderschap	n(sing)	
wesen	zijn	v(infin)	
verwoet	verwoed	adj()

enten	en+de	conj(coord)+art(def)	
woeke+heere	woekeraar	n(sing)

want	want	conj(subord)	
die	de	art(def)	
rudder	ridder	n(sing)	
niet	niet	adv(neg)	
gheroet	geroe‘n	v(fin,pres,lex)

hine	hij+ne	pron(pers,3,sing)+conj(neg)	
verslijt	verslinden	v(fin,pres,lex)	
vleesch	vlees	n(sing)	
ende	en	conj(coord)	
bloet	bloed	n(sing)

vp+dat	opdat	conj(subord)	
sijn	zijn	pron(poss)	
prijs	prijs	n(sing)	
meere	meren	v(fin,pres,lex)

tander	het+ander	art(def)+pron(indef)	
al	al	adv(gener)	
ware	zijn	v(fin,past,aux_cop)	
ghelt	geld	n(sing)	
de	de	art(def)	
vloet	vloed	n(sing)

ende	en	conj(coord)	
hem	hij	pron(pers,3,sing)	
vloyde	vloeien	v(fin,past,lex)	
in	in	adp()	
sinen	zijn	pron(poss)	
moet	moet	n(sing)

hem	hij	pron(pers,3,sing)	
soude	zullen	v(fin,past,aux_cop)	
noch	nog	adv(gener)	
also	alzo	adv(dem)	
zeere	zeer	adv(gener)

dorsten	dorsten	v(fin,pres,lex)	
dant	dan+het	conj(comp)+pron(pers,3,sing)	
dede	doen	v(fin,past,lex)	
eere	eer	adv(gener)

dese	deze	pron(dem)	
minne	min	n(sing)	
heeft	hebben	v(fin,pres,aux_cop)	
ondersceet	onderscheid	n(sing)

van	van	adp()	
hem	hij	pron(pers,3,sing)	
die	die	pron(rel)	
om	om	adp()	
die	die	pron(rel)	
om	om	adp()	
die	de	art(def)	
eere	eer	n(sing)	
steet	staan	v(fin,pres,lex)

entie	en+die	conj(coord)+pron(dem)	
pijnt	pijnen	v(fin,pres,lex)	
omden	om+de	adp()+art(def)	
scatte	schat	n(plu)

wiltu	willen+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
eere	eer	n(sing)	
hebben	hebben	v(infin)	
wes	wezen	v(imp)	
ghereet	gereed	adj()

te	te	adp()	
latene	laten	v(infin)	
dat	dat	pron(rel)	
gode	god	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
leet	leed	adj()

pijndi	pijnen+dij	v(fin,past,lex)+pron(pers,3,sing)	
omme	om	adp()	
datte	dat+de	pron(dem)

dat	dat	pron(rel)	
hem	hij	pron(pers,3,sing)	
lief	lief	adj()	
es	zijn	v(fin,pres,aux_cop)	
ende	en	conj(coord)	
dat	dat	pron(rel)	
hi	hij	pron(pers,3,sing)	
heet	heten	v(fin,pres,aux_cop)

wes	wezen	v(imp)	
vromech	vromig	adj()	
ende	en	conj(coord)	
om	om	adp()	
die	de	art(def)	
eere	eer	n(sing)	
sneet	snijden	v(fin,past,lex)

houtti	houden+du	v(fin,pres,lex)+pron(pers,2,sing)	
dat	dat	conj(subord)	
men	men	pron(indef)	
di	du	pron(pers,2,sing)	
niet	niet	adv(neg)	
en	ne	adv(neg)	
matte	matten	v(fin,pres,lex)

onder	onder	adp()	
der	de	art(def)	
ydelre	ijdel	adj()	
glorien	glorie	n(sing)	
cleet	kleed	n(sing)

daer	daar	pronadv(rel)	
menestraudie	menestraudie	n(sing)	
met	mede	pronadv(rel)	
omme+gheet	omgaan	v(fin,pres,lex)

want	want	conj(coord)	
hare	haar	pron(poss)	
tonghe+platte	tongenplat	n(sing)

smelten	smelten	v(fin,pres,lex)	
alse	als	conj(comp)	
snee+clatte	sneeuwklad	n(sing)

eere	eer	n(sing)	
te	te	adp()	
minne	minnen	v(infin)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
eene	een	art(indef)	
dinc	ding	n(sing)

daer	daar	pronadv(rel)	
noit	nooit	adv(neg)	
herte	hart	n(sing)	
met	mede	pronadv(rel)	
omme+ghinc	omgaan	v(fin,past,lex)

sone	zo+ne	adv(resum)+adv(neg)	
was	zijn	v(fin,past,aux_cop)	
van	van	adp()	
reenen	rein	adj()	
aerde	aarde	n(sing)

bestu	zijn+du	v(fin,pres,aux_cop)+pron(pers,2,sing)	
hout	oud	adj()	
of	of	conj(coord)	
ionghelinc	jongeling	n(sing)

doe	doen	v(imp)	
wel	wel	v(prtcl)	
altoes	altoos	adv(gener)	
ende	en	conj(coord)	
ontsprinc	ontspringen	v(imp)

die	de	art(def)	
herten	hart	n(sing)	
houaerde	hovaart	n(sing)

prijs	prijs	n(sing)	
die	die	pron(rel)	
in	in	adp()	
lodders	lodder	n(prop)	
tonghe	tong	n(sing)	
hinc	hangen	v(fin,past,lex)

hen	zij	pron(pers,3,plu)	
was	zijn	v(fin,past,lex)	
noyt	nooit	adv(neg)	
wert	waard	adj()	
eere	een	art(indef)	
oghen+winc	oogwenk	n(sing)

onder	onder	adp()	
die	de	art(def)	
goede	goed	adj()	
waerde	waarde	n(sing)

onwerden	onwaarde	adj()	
lof	lof	n(sing)	
vlie	vlieden	v(imp)	
ende	en	conj(coord)	
ontsprinc	ontspringen	v(imp)

die	die	pron(rel)	
meneghen	menig	num(indef)	
vaet	vangen	v(fin,pres,lex)	
ende	en	conj(coord)	
wilen	wijlen	adv(gener)	
vinc	vangen	v(fin,past,lex)

die	die	pron(rel)	
dat	dat	art(def)	
wort	woord	n(plu)	
begaerde	begeren	v(fin,past,lex)

ende	en	conj(coord)	
dat	dat	pron(rel)	
weldoen	weldoen	n(sing)	
spaerde	sparen	v(fin,past,lex)

goet	goed	n(sing)	
te	te	adp()	
hebbene	hebben	v(infin)	
ende	en	conj(coord)	
scat	schat	n(sing)

ende	en	conj(coord)	
tamelike	tamelijk	adv(gener)	
te	te	adp()	
nuttene	nutten	v(infin)	
dat	dat	conj(subord)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
een	een	art(indef)	
salich	zalig	adj()	
leuen	leven	n(sing)

maer	maar	conj(coord)	
goets	goed	n(sing)	
minne	minnen	v(infin)	
maect	maken	v(fin,pres,lex)	
i	een	art(indef)	
gat	gat	n(sing)

dat	dat	pron(rel)	
nemmermee	nimmermee	adv(gener)	
mach	mogen	v(fin,pres,aux_cop)	
werden	worden	v(infin)	
sat	zat	adj()

al	al	conj(subord)	
wildement	willen+men+het	v(fin,past,lex)+pron(indef)+pron(pers,3,sing)	
hem	hij	pron(pers,3,sing)	
al	al	num(indef)	
gheuen	geven	v(infin)

minne	minnen	v(infin)	
van	van	adp()	
goede	goed	n(sing)	
wert	worden	v(fin,past,aux_cop)	
ghehat	haten	v(participle,past)

vor	voor	adp()	
gode	god	n(sing)	
in	in	adp()	
die	de	art(def)	
hoghe	hoog	adj()	
stat	stad	n(sing)

daer	daar	adv(rel)	
die	de	art(def)	
inghelen	engel	n(plu)	
beuen	beven	v(fin,pres,lex)

dese	deze	pron(dem)	
scuwen	schuwen	v(fin,pres,lex)	
der	de	art(def)	
eeren	eer	n(sing)	
pat	pad	n(sing)

want	want	conj(coord)	
soe	zij	pron(pers,3,sing)	
moet	moeten	v(fin,pres,aux_cop)	
int	in+het	adp()+art(def)	
helsche	hels	adj()	
vat	vat	n(sing)

salemoen	salomo	n(prop)	
heuet	hebben	v(fin,pres,aux_cop)	
bescreuen	beschrijven	v(participle,past)

ennes	ne+zijn	adv(neg)+v(fin,pres,aux_cop)	
niet	niet	adv(neg)	
erghers	erg	adv(gener)	
bleuen	blijven	v(participle,past)

die	de	art(def)	
derde	derde	num(ord)	
minne	min	n(sing)	
heeschet	eisen	v(fin,pres,lex)	
de	de	art(def)	
tijt	tijd	n(sing)

alse	als	conj(subord)	
die	de	art(def)	
nature	natuur	n(sing)	
ontbijt	ontbeiden	v(fin,pres,lex)

die	de	art(def)	
bloyende	bloeiend	adj()	
jare	jaar	n(sing)

dat	dat	pron(dem)	
es	zijn	v(fin,pres,aux_cop)	
tedelste	het+edel	art(def)+adj()	
delijt	delijt	n(sing)

alse	als	conj(subord)	
hare	haar	pron(poss)	
scamelheit	schamelheid	n(sing)	
besnijt	besnijden	v(fin,pres,lex)

ende	en	conj(coord)	
men	men	pron(indef)	
doghet	deugd	n(sing)	
heuet	hebben	v(fin,pres,lex)	
mare	maar	adj()

die	die	pron(rel)	
men	men	pron(indef)	
vint	vinden	v(fin,pres,lex)	
ter	te+de	adp()+art(def)	
weerelt	wereld	n(sing)	
wijt	wijd	adj()

want	want	conj(subord)	
soe	zij	pron(pers,3,sing)	
talre	te+al	adp()+num(indef)	
stont	stond	n(sing)	
verblijt	verblijden	v(fin,pres,lex)

rechts	rechts	adv(gener)	
oft	of	conj(coord)	
al	al	adv(gener)	
hare	hun	pron(poss)	
ware	waar 	n(sing)

hope	hoop	n(sing)	
nemmermeer	nimmermeer	adv(gener)	
te+glijt	teglijden	v(fin,pres,lex)

die	die	pron(rel)	
aldus	aldus	adv(dem)	
sijn	zijn	pron(poss)	
lijf	lijf	n(sing)	
verslijt	verslijten	v(fin,pres,lex)

maect	maken	v(fin,pres,lex)	
sine	zijn	pron(poss)	
zinne	zin	n(sing)	
claer	klaar	adj()

want	want	conj(subord)	
god	god	n(prop)	
en	ne	adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
gheen	geen	pron(indef)	
futselaer	futselaar	n(sing)

minne	min	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
alse	als	conj(comp)	
men	men	pron(indef)	
bescreuen	beschrijven	v(participle,past)	
vint	vinden	v(fin,pres,aux_cop)

cracht	kracht	n(sing)	
die	die	pron(rel)	
twee	twee	num(card)	
herten	hart	n(plu)	
bint	binden	v(fin,pres,lex)

tsamen	tezamen	adv(gener)	
in	in	adp()	
een	een	art(indef)	
reene	rein	adj()	
wanen	waan	n(sing)

dattie	dat+de	conj(subord)+art(def)	
minne	min	n(sing)	
heetet	heten	v(fin,pres,aux_cop)	
blint	blind	adj()

doet	doen	v(fin,pres,lex)	
dat	dat	conj(subord)	
menich	menig	num(indef)	
es	zijn	v(fin,pres,aux_cop)	
so	zo	adv(resum)	
kint	kind	n(sing)

dat	dat	conj(subord)	
hi	hij	pron(pers,3,sing)	
hem	hij	pron(pers,3,sing)	
laet	laten	v(fin,pres,aux_cop)	
verspanen	verspanen	v(infin)

sine	zij+ne	pron(pers,3,sing)+adv(neg)	
conen	kunnen	v(fin,pres,aux_cop)	
minnen	minnen	v(infin)	
niet	niet	adv(neg)	
i	een	art(indef)	
twint	twint	n(sing)

die	die	art(def)	
wandel	wandel	adj()	
sijn	zijn	v(fin,pres,aux_cop)	
alse	als	conj(comp)	
die	de	art(def)	
wint	wind	n(sing)

si	zij	pron(pers,3,plu)	
rollen	rollen	v(fin,pres,lex)	
buter	buiten+de	adp()+art(def)	
banen	baan	n(sing)

ic	ik	pron(pers,1,sing)	
waen	wanen	v(fin,pres,lex)	
mer	men+er	pron(indef)+pronadv(pers)	
also	alzo	adv(dem)	
vele	veel	num(indef)	
vint	vinden	v(fin,pres,lex)

minres	minnaar	n(plu)	
in	in	adp()	
trouwen	trouw	n(sing)	
ghehint	enten	v(participle,past)

alse	als	conj(subord)	
men	men	pron(indef)	
doet	doen	v(fin,pres,lex)	
zwarter	zwart	adj()	
zwanen	zwaan	n(plu)

dus	dus	adv(dem)	
laet	laten	v(fin,pres,lex)	
hare	haar	pron(poss)	
minne	min	n(sing)	
af+plane	afplanen	v(infin)

martin	martijn	n(prop)	
ic	ik	pron(pers,1,sing)	
ben	zijn	v(fin,pres,aux_cop)	
des	dat	art(def)	
wel	wel	adv(gener)	
berecht	berechten	v(participle,past)

het	het	pron(pers,3,sing)	
seghet	zeggen	v(fin,pres,lex)	
al	al	num(indef)	
heeren	heer	n(plu)	
ende	en	conj(coord)	
knecht	knecht	n(sing)

vrouwen	vrouw	n(plu)	
ende	en	conj(coord)	
ioncvrouwen	jonkvrouw	n(plu)

dat	dat	conj(subord)	
si	zij	pron(pers,3,plu)	
met	met	adp()	
minnen	min	n(sing)	
sijn	zijn	v(fin,pres,aux_cop)	
verplecht	verplegen	v(participle,past)

in	in	adp()	
sanghe	zang	n(sing)	
ende	en	conj(coord)	
in	in	adp()	
rime	rijm	n(plu)	
slecht	slecht	adj()

ende	en	conj(coord)	
men	men	pron(indef)	
caens	kunnen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
niet	niet	adv(neg)	
bescauwen	beschouwen	v(infin)

mi	ik	pron(pers,1,sing)	
dincke	dunken	v(fin,pres,lex)	
dat	dat	conj(subord)	
al	al	num(indef)	
die	de	art(def)	
weerelt	wereld	n(sing)	
vecht	vechten	v(fin,pres,lex)

ieghen	jegen	adp()	
reenre	rein	adj()	
minnen	min	n(sing)	
lecht	licht	n(sing)

ende	en	conj(coord)	
volghen	volgen	v(fin,pres,lex)	
ontrouwen	ontrouw	n(sing)

menech	menig	num(indef)	
seghet	zeggen	v(fin,pres,lex)	
nv	nu	adv(dem)	
ende	en	conj(coord)	
echt	echt	adv(gener)

mijn	mijn	pron(poss)	
sin	zin	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
so	zo	adv(gener)	
ane	aan	adp()	
v	gij	pron(pers,2,plu)	
ghehecht	hechten	v(participle,past)

dat	dat	conj(subord)	
ic	ik	pron(pers,1,sing)	
wane	wanen	v(fin,pres,lex)	
bedouwen	bedauwen	v(infin)

achtre	achter	adv(gener)	
maken	maken	v(fin,pres,lex)	
si	zij	pron(pers,3,plu)	
de	de	art(def)	
mouwen	mouw	n(plu)

iacop	jacob	n(prop)	
du	du	pron(pers,2,sing)	
hebs	hebben	v(fin,pres,aux_cop)	
mi	ik	pron(pers,1,sing)	
oit	ooit	adv(indef)	
ghevraghet	vragen	v(participle,past)

ende	en	conj(coord)	
ic	ik	pron(pers,1,sing)	
andwort	antwoorden	v(fin,pres,lex)	
ende	en	conj(coord)	
verdraghet	verdragen+het	v(fin,pres,lex)+pron(pers,3,sing)

nu	nu	adv(dem)	
willic	willen+ik	v(fin,pres,lex)+pron(pers,1,sing)	
martin	martin	n(prop)	
vraghen	vragen	v(infin)

waenstu	wanen+du	v(fin,pres,lex)+pron(pers,2,sing)	
dat	dat	conj(subord)	
mi	ik	pron(pers,1,sing)	
wel	wel	adv(gener)	
behaghet	behagen	v(fin,pres,lex)

dattu	dat+du	conj(subord)+pron(pers,2,sing)	
mi	ik	pron(pers,1,sing)	
dus	dus	adv(dem)	
heues	hebben	v(fin,pres,aux_cop)	
gheiaghet	jagen	v(participle,past)

neent	neen+het	adv(neg)+pron(pers,3,sing)	
wistics	weten+ik+dat	v(fin,pres,lex)+pron(pers,1,sing)+pron(dem)	
wien	wie	pron(inter)	
claghen	klagen	v(infin)

martin	martijn	n(prop)	
vrient	vriend	n(sing)	
wat	wat	pron(inter)	
helpt	helpen	v(fin,pres,lex)	
gheclaghet	klagen	v(participle,past)

vrach	vragen	v(imper)	
dattu	dat+du	conj(subord)+pron(pers,2,sing)	
wilt	willen	v(fin,pres,lex)	
ende	en	conj(coord)	
ic	ik	pron(pers,1,sing)	
ghewaghet	gewagen+het	v(fin,pres,lex)+pron(pers,2,sing)

ic	ik	pron(pers,1,sing)	
wilt	willen+het	v(fin,pres,aux_cop)+pron(pers,3,sing)	
al	al	adv(gener)	
verdraghen	verdragen	v(infin)

god	god	n(sing)	
helpe	helpen	v(imp)	
mi	ik	pron(pers,1,sing)	
want	want	conj(subord)	
hi	hij	pron(pers,3,sing)	
vermaghet	vermogen+het	v(fin,pres,lex)+pron(pers,3,sing)

dat	dat	conj(subord)	
mijn	mijn	pron(poss)	
sin	zin	n(sing)	
so	zo	adv(resum)	
werde	worden	v(fin,past,aux_cop)	
ghevaghet	vagen	v(participle,past)

dats	dat+het	conj(subord)+pron(pers,3,sing)	
di	du	pron(pers,2,sing)	
moete	moeten	v(fin,pres,aux_cop)	
behaghen	behagen	v(infin)

ic	ik	pron(pers,1,sing)	
wille	willen	v(fin,pres,lex)	
dandworde	de+antwoorden	art(def)+v(infin)	
waghen	wagen	n(sing)

lieue	lief	adj()	
iacop	jacob	n(prop)	
so	zo	adv(resum)	
berecht	berichten	v(imp)	
mi	ik	pron(pers,1,sing)

of	of	conj(coord)	
dat	dat	art(def)	
volc	volk	n(sing)	
al	al	num(indef)	
comen	komen	v(fin,pres,lex)	
si	zij	pron(pers,3,plu)

vanden	van+de	adp()+art(def)	
eersten	eerst	num(ord)	
adame	adam	n(prop)

twi	twi	adv(inter)	
es	zijn	v(fin,pres,aux_cop)	
deen	de+een	art(def)+num(def)	
edel	edel	adj()	
dander	de+ander	art(def)+pron(indef)	
vri	vrij	adj()

die	de	art(def)	
derde	derde	num(ord)	
eyghin+man	eigenman	n(sing)	
daer+bi	daarbij	pronadv(dem)

wanen	wanen	adv(inter)	
quam	komen	v(fin,past,lex)	
desen	deze	pron(dem)	
name	naam	n(sing)

twi	twi	adv(inter)	
seghemen	zeggen+men	v(fin,pres,lex)+pron(indef)	
ten	te+de	adp()+art(def)	
dorpere	dorper	n(sing)	
spi	spij	interj()

ganc+wech	gaan+weg	v(imp)+v(prtcl)	
god	god	n(sing)	
onneere	oneren	v(fin,pres,lex)	
di	du	pron(pers,2,sing)

du	du	pron(pers,2,sing)	
best	zijn	v(fin,pres,aux_cop)	
der	de	art(def)	
weerelt	wereld	n(sing)	
scame	schaam	n(sing)

die	de	art(def)	
edele	edel	n(sing)	
heuet	hebben	v(fin,pres,lex)	
al	al	num(indef)	
tghecri	het+gecri	art(def)+n(sing)

men	men	pron(indef)	
seghet	zeggen	v(fin,pres,lex)	
willecome	welkom	interj()	
ghi	gij	pron(pers,2,plu)

dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
dies	dat	pron(rel)	
ic	ik	pron(pers,1,sing)	
nu	nu	adv(dem)	
vergrame	vergrammen	v(fin,pres,lex)

want	want	conj(coord)	
het	het	pron(pers,3,sing)	
dinct	dunken	v(fin,pres,aux_cop)	
mi	ik	pron(pers,1,sing)	
ontame	ontaam	adj()

martin	martijn	n(prop)	
den	de	art(def)	
meneghen	menige	n(sing)	
es	zijn	v(fin,pres,aux_cop)	
bedect	bedekken	v(participle,past)

die	de	art(def)	
dinc	ding	n(plu)	
daer	daar	pronadv(rel)	
dijn	dijn	pron(poss)	
sin	zin	n(sing)	
vp	op	pronadv(rel)	
mect	mikken	v(fin,pres,lex)

ende	en	conj(coord)	
du	du	pron(pers,2,sing)	
vraghes	vragen	v(fin,pres,lex)	
wel	wel	adv(gener)	
verre	ver	adv(gener)

want	want	conj(subord)	
heuet	hebben	v(fin,pres,aux_cop)	
een	een	art(indef)	
persemier	persemier	n(sing)	
geblect	blekken	v(participle,past)

enten	en+de	conj(coord)+art(def)	
lieden	lieden	n(plu)	
thare	het+haar	pron(pers,3,sing)+pron(poss)	
ontpect	ontpikken	v(participle,past)

so	zo	adv(resum)	
wille	willen	v(fin,pres,aux_cop)	
hi	hij	pron(pers,3,sing)	
sonder	zonder	adp()	
merre	meer	num(indef)

onder	onder	adp()	
die	de	art(def)	
edele	edel	n(plu)	
sijn	zijn	v(fin,pres,aux_cop)	
ghetrect	trekken	v(participle,past)

al	al	conj(subord)	
ware	zijn	v(fin,past,aux_cop)	
hi	hij	pron(pers,3,sing)	
c+fout	honderdvoud	num(def)	
beulect	bevlekken	v(participle,past)

tghelt	dat+geld	art(def)+n(sing)	
claerten	klaren+hem	n(prop)	
vanden	van+de	adp()+art(def)	
terre	teer	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
die	de	art(def)	
dinc	ding	n(sing)	
die	de	pron(rel)	
lieden	lieden	n(plu)	
wect	wekken	v(fin,pres,lex)

ende	en	conj(coord)	
menich	menig	num(indef)	
sins	zijn	pron(poss)	
te	te	adp()	
winne	winnen	v(infin)	
trect	trekken	v(fin,pres,lex)

ende	en	conj(coord)	
maecter	maken+er	v(fin,pres,lex)+pron(pers,3,sing)	
gode	god	n(sing)	
om	om	adp()	
erre	erre	adj()

entie	en+de	conj(coord)+art(def)	
ziele	ziel	n(sing)	
in	in	adp()	
die	de	art(def)	
werre	war	n(sing)

nv	nu	adv(dem)	
waent	wanen	v(fin,pres,lex)	
sulc	zulk	pron(indef)	
dat	dat	conj(subord)	
tfolc	het+volk	art(def)+n(sing)	
eyghijn	eigen	adj()

comen	komen	v(participle,past)	
es	zijn	v(fin,pres,aux_cop)	
vanden	van+de	adp()+art(def)	
quaden	kwaad	adj()	
cayhijn	ka•n	n(prop)

die	de	pron(rel)	
vermorde	vermoorden	v(fin,past,lex)	
abelle	abel	n(prop)

ende	en	conj(coord)	
dien	die	pron(rel)	
god	god	n(sing)	
verdoemt	verdoemd	adj()	
hiet	heten	v(fin,past,aux_cop)	
sijn	zijn	v(infin)

dit	dit	pron(dem)	
en	en	adv(neg)	
es	zijn	v(fin,pres,aux_cop)	
niet	niet	adv(neg)	
waer	waar	adj()	
martijn	martijn	n(prop)

bi	bij	adp()	
redenen	reden	n(plu)	
die	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
telle	tellen	v(fin,pres,lex)

want	want	conj(subord)	
al	al	num(indef)	
dat	dat	art(def)	
gheslachte	geslacht	n(sing)	
sijn	zijn	v(fin,pres,aux_cop)

bescrijft	beschrijven	v(fin,pres,lex)	
ons	wij	pron(pers,1,plu)	
die	de	art(def)	
bibele	bijbel	n(sing)	
fijn	fijn	adj()

verdranc	verdrinken	v(fin,past,lex)	
die	de	art(def)	
louie	luvie	n(sing)	
felle	fel	adj()

maer	maar	conj(coord)	
dat	dat	conj(subord)	
dorplijc	dorpelijk	adj()	
venijn	venijn	n(sing)

dat	dat	conj(subord)	
caym	ka•n	n(prop)	
drouch	dragen	v(fin,past,lex)	
dats	dat+zijn	pron(dem)+v(fin,pres,aux_cop)	
noch	noch	adv(gener)	
anschijn	aanschijn	adv(gener)

an	aan	adp()	
meneghen	menig	num(indef)	
die	die	pron(rel)	
ic	ik	pron(pers,1,sing)	
telle	tellen	v(fin,pres,lex)

van	van	adp()	
herten	hart	n(sing)	
sijn	zijn	pron(poss)	
gheselle	gezel	n(sing)

sulc	zulk	pron(indef)	
waent	wanen	v(fin,pres,lex)	
dat	dat	conj(subord)	
vanden	van+de	art(def)+adp()	
quaden	kwaad	adj()	
cam	cham	n(prop)

doe	toen	conj(subord)	
noe	noach	n(prop)	
sijn	zijn	pron(poss)	
vader	vader	n(sing)	
was	zijn	v(fin,past,aux_cop)	
gram	gram	adj()

want	want	conj(subord)	
hine	hij+hij	pron(pers,3,sing)+pron(pers,3,sing)	
niet	niet	adv(neg)	
en	ne	adv(neg)	
decte	dekken	v(fin,past,lex)

dat	het	art(def)	
eyghin	eigen	adj()	
volc	volk	n(sing)	
van	van	adp()	
hem	hij	pron(pers,3,sing)	
quam	komen	v(fin,past,lex)

want	want	conj(subord)	
hem	hij	pron(pers,3,sing)	
sijns	zijn	pron(poss)	
vader	vader	n(sing)	
vlouc	vloek	n(sing)	
mesquam	miskomen	v(fin,past,lex)

hi	hij	pron(pers,3,sing)	
dolde	dolen	v(fin,past,lex)	
diere	die+er	pron(rel)+pronadv(pers)	
vp	op	adp()	
mecte	mikken	v(fin,past,lex)

al	al	num(indef)	
vindmen	vinden+men	v(fin,pres,lex)+pron(indef)	
dattie	dat+de	conj(subord)+art(def)	
goede	goed	adj()	
ram	ram	n(sing)

dicken	dik	adv(gener)	
wint	winnen	v(fin,pres,lex)	
dongaue	de+ongaaf	art(def)+adj()	
lam	lam	n(sing)

dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)	
der	de	art(def)	
rudarise	rudaris	n(sing)	
secte	sekte	n(sing)

vanden	van+de	adp()+art(def)	
edelen	edel	adj()	
abraham	abraham	n(prop)

quam	komen	v(fin,past,lex)	
eyghin	eigen	adj()	
volc	volk	n(sing)	
als	als	conj(comp)	
ic	ik	pron(pers,1,sing)	
vernam	vernemen	v(fin,past,lex)

dat	dat	conj(subord)	
oint	ooit	adv(indef)	
ter	te+de	adp()+art(def)	
eeren	eer	n(sing)	
trecte	trekken	v(fin,past,lex)

noch	nog	conj(coord)	
noit	nooit	adv(neg)	
hem	hij	pron(pers,3,sing)	
beulecte	bevlekken	v(fin,past,lex)

martin	martijn	n(prop)	
tduudsche	het+duitse	art(def)+adj()	
loy	looi	n(sing)	
vertelt	vertellen	v(fin,pres,lex)

dat	dat	conj(subord)	
van	van	adp()	
onrechtre	onrecht	adj()	
